0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:45:56 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:45:56 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:45:57 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:45:57 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:45:57 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:13:46:07 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [27/Feb/2022:14:14:40 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [27/Feb/2022:14:14:40 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [27/Feb/2022:14:14:40 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [27/Feb/2022:20:11:34 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [27/Feb/2022:20:11:34 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:20:11:35 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:20:11:37 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Feb/2022:20:11:40 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [27/Feb/2022:20:11:40 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:20:11:40 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
192.168.0.25 - - [27/Feb/2022:22:45:28 +0900] "GET / HTTP/1.1" 404 807
192.168.0.25 - - [27/Feb/2022:22:45:34 +0900] "GET /HNAP1/ HTTP/1.1" 404 817
192.168.0.25 - - [27/Feb/2022:22:45:35 +0900] "POST /cgi-bin/mainfunction.cgi HTTP/1.1" 404 835
