127.0.0.1 - - [23/Feb/2022:13:32:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:39:16 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&search= HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:39:16 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:39:16 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/jejugothic.css HTTP/1.1" 404 908
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:39:16 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/nanumgothic.css HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:39:26 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&search= HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:39:26 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:39:26 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/nanumgothic.css HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:39:26 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/jejugothic.css HTTP/1.1" 404 908
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:40:45 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&search= HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:40:45 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:40:45 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/nanumgothic.css HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:40:45 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/jejugothic.css HTTP/1.1" 404 908
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:44:53 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&search= HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:44:53 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:44:53 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/jejugothic.css HTTP/1.1" 404 908
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:44:53 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:44:53 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/nanumgothic.css HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:47:50 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&search= HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:47:51 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:47:51 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/nanumgothic.css HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:47:51 +0900] "GET /Lecture_Evaluation/css/https//fonts.googleapis.com/earlyaccess/jejugothic.css HTTP/1.1" 404 908
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:47:51 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [23/Feb/2022:13:51:32 +0900] "GET /Lecture_Evaluation/index.jsp?lectureDivide=%EC%A0%84%EC%B2%B4&search= HTTP/1.1" 200 7227
